m_val,a_val,dC_dr
22.253,3.22156,0.00604524
24.2186,3.22156,0.00646103
26.2875,3.22156,0.00689452
28.4626,3.22156,0.00734637
30.7464,3.22156,0.00781724
33.1415,3.22156,0.00830779
35.6507,3.22156,0.00881867
38.2766,3.22156,0.00935055
41.0218,3.22156,0.00990405
43.889,3.22156,0.0104798
46.8809,3.22156,0.0110785
50,3.22156,0.0117008
-2,4.20776,0
-1.99956,4.20776,0
-1.99646,4.20776,0
-1.98807,4.20776,0
-1.97171,4.20776,-0.0110768
-1.94475,4.20776,-0.0104218
-1.90453,4.20776,-0.00705827
-1.8484,4.20776,-0.00612341
-1.7737,4.20776,-0.00471434
-1.67779,4.20776,-0.00384745
-1.55801,4.20776,-0.00308077
-1.41171,4.20776,-0.00245732
-1.23624,4.20776,-0.00170272
-1.02894,4.20776,-0.0013036
-0.787172,4.20776,-0.000949882
-0.508275,4.20776,-0.000630029
-0.189598,4.20776,-0.000335464
0.17151,4.20776,-5.96362e-05
0.577701,4.20776,0.00020245
1.03163,4.20776,0.000454642
1.53594,4.20776,0.000700368
2.09329,4.20776,0.000942506
2.70634,4.20776,0.00118348
3.37773,4.20776,0.00142537
4.11011,4.20776,0.00166996
4.90614,4.20776,0.00191883
5.76846,4.20776,0.00217339
6.69974,4.20776,0.00243488
7.70262,4.20776,0.00270445
8.77976,4.20776,0.00298314
9.9338,4.20776,0.00327191
11.1674,4.20776,0.00357168
12.4832,4.20776,0.00388329
13.8839,4.20776,0.00420757
15.3721,4.20776,0.00454528
16.9504,4.20776,0.00489718
18.6216,4.20776,0.00526401
20.3883,4.20776,0.00564646
22.253,4.20776,0.00604524
24.2186,4.20776,0.00646103
26.2875,4.20776,0.00689452
28.4626,4.20776,0.00734637
30.7464,4.20776,0.00781724
33.1415,4.20776,0.00830779
35.6507,4.20776,0.00881867
38.2766,4.20776,0.00935055
41.0218,4.20776,0.00990405
43.889,4.20776,0.0104798
46.8809,4.20776,0.0110785
50,4.20776,0.0117008
-2,5.32544,0
-1.99956,5.32544,0
-1.99646,5.32544,0
-1.98807,5.32544,0
-1.97171,5.32544,-0.0110768
-1.94475,5.32544,-0.0104218
-1.90453,5.32544,-0.00705827
-1.8484,5.32544,-0.00612341
-1.7737,5.32544,-0.00471434
-1.67779,5.32544,-0.00384745
-1.55801,5.32544,-0.00308077
-1.41171,5.32544,-0.00245732
-1.23624,5.32544,-0.00170272
-1.02894,5.32544,-0.0013036
-0.787172,5.32544,-0.000949882
-0.508275,5.32544,-0.000630029
-0.189598,5.32544,-0.000335464
0.17151,5.32544,-5.96362e-05
0.577701,5.32544,0.00020245
1.03163,5.32544,0.000454642
1.53594,5.32544,0.000700368
2.09329,5.32544,0.000942506
2.70634,5.32544,0.00118348
3.37773,5.32544,0.00142537
4.11011,5.32544,0.00166996
4.90614,5.32544,0.00191883
5.76846,5.32544,0.00217339
6.69974,5.32544,0.00243488
7.70262,5.32544,0.00270445
8.77976,5.32544,0.00298314
9.9338,5.32544,0.00327191
11.1674,5.32544,0.00357168
12.4832,5.32544,0.00388329
13.8839,5.32544,0.00420757
15.3721,5.32544,0.00454528
16.9504,5.32544,0.00489718
18.6216,5.32544,0.00526401
20.3883,5.32544,0.00564646
22.253,5.32544,0.00604524
24.2186,5.32544,0.00646103
26.2875,5.32544,0.00689452
28.4626,5.32544,0.00734637
30.7464,5.32544,0.00781724
33.1415,5.32544,0.00830779
35.6507,5.32544,0.00881867
38.2766,5.32544,0.00935055
41.0218,5.32544,0.00990405
43.889,5.32544,0.0104798
46.8809,5.32544,0.0110785
50,5.32544,0.0117008
-2,6.57462,0
-1.99956,6.57462,0
-1.99646,6.57462,0
-1.98807,6.57462,0
-1.97171,6.57462,-0.0110768
-1.94475,6.57462,-0.0104218
-1.90453,6.57462,-0.00705827
-1.8484,6.57462,-0.00612341
-1.7737,6.57462,-0.00471434
-1.67779,6.57462,-0.00384745
-1.55801,6.57462,-0.00308077
-1.41171,6.57462,-0.00245732
-1.23624,6.57462,-0.00170272
-1.02894,6.57462,-0.0013036
-0.787172,6.57462,-0.000949882
-0.508275,6.57462,-0.000630029
-0.189598,6.57462,-0.000335464
0.17151,6.57462,-5.96362e-05
0.577701,6.57462,0.00020245
1.03163,6.57462,0.000454642
1.53594,6.57462,0.000700368
2.09329,6.57462,0.000942506
2.70634,6.57462,0.00118348
3.37773,6.57462,0.00142537
4.11011,6.57462,0.00166996
4.90614,6.57462,0.00191883
5.76846,6.57462,0.00217339
6.69974,6.57462,0.00243488
7.70262,6.57462,0.00270445
8.77976,6.57462,0.00298314
9.9338,6.57462,0.00327191
11.1674,6.57462,0.00357168
12.4832,6.57462,0.00388329
13.8839,6.57462,0.00420757
15.3721,6.57462,0.00454528
16.9504,6.57462,0.00489718
18.6216,6.57462,0.00526401
20.3883,6.57462,0.00564646
22.253,6.57462,0.00604524
24.2186,6.57462,0.00646103
26.2875,6.57462,0.00689452
28.4626,6.57462,0.00734637
30.7464,6.57462,0.00781724
33.1415,6.57462,0.00830779
35.6507,6.57462,0.00881867
38.2766,6.57462,0.00935055
41.0218,6.57462,0.00990405
43.889,6.57462,0.0104798
46.8809,6.57462,0.0110785
50,6.57462,0.0117008
-2,7.95529,0
-1.99956,7.95529,0
-1.99646,7.95529,0
-1.98807,7.95529,0
-1.97171,7.95529,-0.0110768
-1.94475,7.95529,-0.0104218
-1.90453,7.95529,-0.00705827
-1.8484,7.95529,-0.00612341
-1.7737,7.95529,-0.00471434
-1.67779,7.95529,-0.00384745
-1.55801,7.95529,-0.00308077
-1.41171,7.95529,-0.00245732
-1.23624,7.95529,-0.00170272
-1.02894,7.95529,-0.0013036
-0.787172,7.95529,-0.000949882
-0.508275,7.95529,-0.000630029
-0.189598,7.95529,-0.000335464
0.17151,7.95529,-5.96362e-05
0.577701,7.95529,0.00020245
1.03163,7.95529,0.000454642
1.53594,7.95529,0.000700368
2.09329,7.95529,0.000942506
2.70634,7.95529,0.00118348
3.37773,7.95529,0.00142537
4.11011,7.95529,0.00166996
4.90614,7.95529,0.00191883
5.76846,7.95529,0.00217339
6.69974,7.95529,0.00243488
7.70262,7.95529,0.00270445
8.77976,7.95529,0.00298314
9.9338,7.95529,0.00327191
11.1674,7.95529,0.00357168
12.4832,7.95529,0.00388329
13.8839,7.95529,0.00420757
15.3721,7.95529,0.00454528
16.9504,7.95529,0.00489718
18.6216,7.95529,0.00526401
20.3883,7.95529,0.00564646
22.253,7.95529,0.00604524
24.2186,7.95529,0.00646103
26.2875,7.95529,0.00689452
28.4626,7.95529,0.00734637
