m_val,a_val,dC_dr
43.889,2.36686,0.0103365
46.8809,2.36686,0.0109345
50,2.36686,0.0115561
-2,3.22156,0
-1.99956,3.22156,0
-1.99646,3.22156,0
-1.98807,3.22156,0
-1.97171,3.22156,-0.0112758
-1.94475,3.22156,-0.0101753
-1.90453,3.22156,-0.00709589
-1.8484,3.22156,-0.00595555
-1.7737,3.22156,-0.00464965
-1.67779,3.22156,-0.00375787
-1.55801,3.22156,-0.00260893
-1.41171,3.22156,-0.00209921
-1.23624,3.22156,-0.0016585
-1.02894,3.22156,-0.00127707
-0.787172,3.22156,-0.000939302
-0.508275,3.22156,-0.000633428
-0.189598,3.22156,-0.000351971
0.17151,3.22156,-8.85581e-05
0.577701,3.22156,0.000161973
1.03163,3.22156,0.000403755
1.53594,3.22156,0.000640146
2.09329,3.22156,0.000873922
2.70634,3.22156,0.00110741
3.37773,3.22156,0.0013426
4.11011,3.22156,0.0015812
4.90614,3.22156,0.0018247
5.76846,3.22156,0.00207443
6.69974,3.22156,0.00233158
7.70262,3.22156,0.00259722
8.77976,3.22156,0.00287235
9.9338,3.22156,0.00315788
11.1674,3.22156,0.00345468
12.4832,3.22156,0.00376357
13.8839,3.22156,0.00408533
15.3721,3.22156,0.00442071
16.9504,3.22156,0.00477046
18.6216,3.22156,0.00513527
20.3883,3.22156,0.00551584
22.253,3.22156,0.00591288
24.2186,3.22156,0.00632704
26.2875,3.22156,0.00675901
28.4626,3.22156,0.00720944
30.7464,3.22156,0.007679
33.1415,3.22156,0.00816833
35.6507,3.22156,0.00867811
38.2766,3.22156,0.00920896
41.0218,3.22156,0.00976154
43.889,3.22156,0.0103365
46.8809,3.22156,0.0109345
50,3.22156,0.0115561
-2,4.20776,0
-1.99956,4.20776,0
-1.99646,4.20776,0
-1.98807,4.20776,0
-1.97171,4.20776,-0.0112758
-1.94475,4.20776,-0.0101753
-1.90453,4.20776,-0.00709589
-1.8484,4.20776,-0.00595555
-1.7737,4.20776,-0.00464965
-1.67779,4.20776,-0.00375787
-1.55801,4.20776,-0.00260893
-1.41171,4.20776,-0.00209921
-1.23624,4.20776,-0.0016585
-1.02894,4.20776,-0.00127707
-0.787172,4.20776,-0.000939302
-0.508275,4.20776,-0.000633428
-0.189598,4.20776,-0.000351971
0.17151,4.20776,-8.85581e-05
0.577701,4.20776,0.000161973
1.03163,4.20776,0.000403755
1.53594,4.20776,0.000640146
2.09329,4.20776,0.000873922
2.70634,4.20776,0.00110741
3.37773,4.20776,0.0013426
4.11011,4.20776,0.0015812
4.90614,4.20776,0.0018247
5.76846,4.20776,0.00207443
6.69974,4.20776,0.00233158
7.70262,4.20776,0.00259722
8.77976,4.20776,0.00287235
9.9338,4.20776,0.00315788
11.1674,4.20776,0.00345468
12.4832,4.20776,0.00376357
13.8839,4.20776,0.00408533
15.3721,4.20776,0.00442071
16.9504,4.20776,0.00477046
18.6216,4.20776,0.00513527
20.3883,4.20776,0.00551584
22.253,4.20776,0.00591288
24.2186,4.20776,0.00632704
26.2875,4.20776,0.00675901
28.4626,4.20776,0.00720944
30.7464,4.20776,0.007679
33.1415,4.20776,0.00816833
35.6507,4.20776,0.00867811
38.2766,4.20776,0.00920896
41.0218,4.20776,0.00976154
43.889,4.20776,0.0103365
46.8809,4.20776,0.0109345
50,4.20776,0.0115561
-2,5.32544,0
-1.99956,5.32544,0
-1.99646,5.32544,0
-1.98807,5.32544,0
-1.97171,5.32544,-0.0112758
-1.94475,5.32544,-0.0101753
-1.90453,5.32544,-0.00709589
-1.8484,5.32544,-0.00595555
-1.7737,5.32544,-0.00464965
-1.67779,5.32544,-0.00375787
-1.55801,5.32544,-0.00260893
-1.41171,5.32544,-0.00209921
-1.23624,5.32544,-0.0016585
-1.02894,5.32544,-0.00127707
-0.787172,5.32544,-0.000939302
-0.508275,5.32544,-0.000633428
-0.189598,5.32544,-0.000351971
0.17151,5.32544,-8.85581e-05
0.577701,5.32544,0.000161973
1.03163,5.32544,0.000403755
1.53594,5.32544,0.000640146
2.09329,5.32544,0.000873922
2.70634,5.32544,0.00110741
3.37773,5.32544,0.0013426
4.11011,5.32544,0.0015812
4.90614,5.32544,0.0018247
5.76846,5.32544,0.00207443
6.69974,5.32544,0.00233158
7.70262,5.32544,0.00259722
8.77976,5.32544,0.00287235
9.9338,5.32544,0.00315788
11.1674,5.32544,0.00345468
12.4832,5.32544,0.00376357
13.8839,5.32544,0.00408533
15.3721,5.32544,0.00442071
16.9504,5.32544,0.00477046
18.6216,5.32544,0.00513527
20.3883,5.32544,0.00551584
22.253,5.32544,0.00591288
